[2020-03-16 01:14:53,358] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-03-16 01:14:57,041] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/view/ HTTP/1.1" 200 19512
[2020-03-16 01:14:57,134] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-16 01:14:57,148] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?action=query_meter&page=1&limit=10 HTTP/1.1" 200 464
[2020-03-16 01:14:57,154] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-16 01:14:57,196] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/manufacturer/?param=%7B%7D&action=query_manufacturer HTTP/1.1" 200 1235
[2020-03-16 01:14:59,229] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/view/ HTTP/1.1" 200 19512
[2020-03-16 01:14:59,327] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-16 01:14:59,332] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-16 01:14:59,345] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?action=query_meter&page=1&limit=10 HTTP/1.1" 200 464
[2020-03-16 01:14:59,353] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/manufacturer/?param=%7B%7D&action=query_manufacturer HTTP/1.1" 200 1235
[2020-03-16 01:15:01,095] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/view/ HTTP/1.1" 200 19512
[2020-03-16 01:15:01,162] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-16 01:15:01,164] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-16 01:15:01,177] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?action=query_meter&page=1&limit=10 HTTP/1.1" 200 464
[2020-03-16 01:15:01,185] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/manufacturer/?param=%7B%7D&action=query_manufacturer HTTP/1.1" 200 1235
[2020-03-16 01:15:05,819] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-16 01:15:05,834] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /handler/meter/ HTTP/1.1" 200 68
[2020-03-16 01:15:07,214] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/view/ HTTP/1.1" 200 19512
[2020-03-16 01:15:07,278] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-16 01:15:07,281] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-16 01:15:07,291] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?action=query_meter&page=1&limit=10 HTTP/1.1" 200 464
[2020-03-16 01:15:07,299] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/manufacturer/?param=%7B%7D&action=query_manufacturer HTTP/1.1" 200 1235
[2020-03-16 11:03:52,423] [autoreload.py:203] [autoreload:trigger_reload] [INFO]- D:\project\python\flowmeter\flowmeter\applications\api\operator.py changed, reloading.
[2020-03-16 11:03:53,159] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-03-16 11:19:28,604] [autoreload.py:203] [autoreload:trigger_reload] [INFO]- D:\project\python\flowmeter\flowmeter\config\api\operator.py changed, reloading.
[2020-03-16 11:19:29,360] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-03-16 11:27:06,985] [autoreload.py:203] [autoreload:trigger_reload] [INFO]- D:\project\python\flowmeter\flowmeter\config\api\operator.py changed, reloading.
[2020-03-16 11:27:07,749] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-03-16 11:32:17,189] [autoreload.py:203] [autoreload:trigger_reload] [INFO]- D:\project\python\flowmeter\flowmeter\config\api\cache.py changed, reloading.
[2020-03-16 11:32:17,948] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-03-16 11:32:58,032] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/view/ HTTP/1.1" 200 19512
[2020-03-16 11:32:58,127] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-16 11:32:58,137] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?action=query_meter&page=1&limit=10 HTTP/1.1" 200 464
[2020-03-16 11:32:58,144] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-16 11:32:58,163] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/manufacturer/?param=%7B%7D&action=query_manufacturer HTTP/1.1" 200 1235
[2020-03-16 11:32:59,551] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /role/view/ HTTP/1.1" 200 4075
[2020-03-16 11:32:59,611] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-16 11:32:59,613] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/auth/?action=query_role&page=1&limit=10 HTTP/1.1" 200 294
[2020-03-16 11:33:01,369] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /role/auth/view/?name=admin HTTP/1.1" 200 34899
[2020-03-16 11:33:03,868] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：edit_role_auth
[2020-03-16 11:33:03,959] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /handler/auth/ HTTP/1.1" 200 68
[2020-03-16 11:33:03,968] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /role/view/ HTTP/1.1" 200 4075
[2020-03-16 11:33:04,030] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-16 11:33:04,033] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/auth/?action=query_role&page=1&limit=10 HTTP/1.1" 200 294
