[2020-03-15 19:48:55,955] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：login
[2020-03-15 19:48:57,650] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-03-15 19:48:57,664] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-15 19:48:57,674] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:48:57,677] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-03-15 19:48:57,700] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-15 19:48:57,727] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-15 19:48:57,733] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-15 19:48:57,750] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 19:48:57,750] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:48:57,755] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-15 19:48:57,764] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-15 19:48:57,797] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:49:05,725] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-15 19:49:06,013] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-15 19:49:06,330] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-15 19:49:06,560] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 19:49:06,563] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:49:06,816] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-15 19:49:06,820] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:49:06,820] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-15 19:49:08,061] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 19:49:08,063] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:49:08,391] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-15 19:49:08,394] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:49:08,394] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-15 19:49:08,774] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-15 19:49:08,778] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-15 19:49:08,778] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:49:09,394] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 19:49:09,397] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:49:14,358] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-15 19:49:14,358] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_flow_ratio
[2020-03-15 19:58:15,015] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 19:58:15,029] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 19:58:17,299] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-15 19:58:17,299] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_flow_ratio
[2020-03-15 19:59:52,592] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_flow_ratio
[2020-03-15 19:59:52,592] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-15 20:00:36,373] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-15 20:00:36,373] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_flow_ratio
[2020-03-15 20:00:39,462] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:00:39,467] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:00:41,641] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-15 20:00:41,641] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_flow_ratio
[2020-03-15 20:01:02,130] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-15 20:01:02,131] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_flow_ratio
[2020-03-15 20:02:26,350] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:02:26,354] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:03:03,452] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:03:03,455] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:03:10,317] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-15 20:03:11,718] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_flow_ratio
[2020-03-15 20:04:04,318] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:04:04,323] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:04:16,358] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:04:16,363] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:04:27,895] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:04:27,899] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:04:48,624] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:04:48,628] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:04:53,201] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:04:53,206] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:06:18,881] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:06:18,886] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:06:22,529] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:06:22,534] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:06:50,332] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:06:50,336] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:06:56,682] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:06:56,686] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:07:34,297] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:07:34,300] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:07:41,417] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:07:41,420] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:08:20,885] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:08:20,890] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:08:27,789] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:08:27,791] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:09:04,545] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:09:04,548] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:09:11,671] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:09:11,674] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:12:06,645] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:12:06,649] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:12:12,483] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-15 20:12:14,065] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:12:14,068] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:13:27,417] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-15 20:13:27,420] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:17:29,661] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-15 20:17:54,918] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-15 20:18:11,518] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-15 20:19:16,785] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-15 20:19:31,942] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-15 20:19:48,572] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-15 20:20:18,222] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-15 20:21:50,466] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-15 20:36:16,714] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:36:16,742] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-15 20:36:16,753] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-15 20:36:16,779] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-15 20:36:18,117] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-15 20:36:18,118] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-15 20:36:18,119] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-15 20:36:18,120] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
