[2020-03-27 10:00:22,189] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：login
[2020-03-27 10:00:23,980] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 10:00:23,995] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 10:00:24,016] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-03-27 10:00:24,019] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-03-27 10:00:24,024] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-27 10:00:24,030] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 10:00:24,038] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 10:00:24,048] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-27 10:00:24,063] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-27 10:00:24,066] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-27 10:00:24,115] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 10:06:09,447] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_role
[2020-03-27 10:06:09,456] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-27 10:06:09,458] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 10:06:09,462] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 10:06:09,493] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-27 10:06:09,511] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 10:06:09,517] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-03-27 10:06:09,517] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 10:06:09,526] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-27 10:06:09,526] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-03-27 10:06:09,544] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:27,478] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：login
[2020-03-27 12:57:30,814] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:32,855] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:33,717] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:33,996] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:34,420] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:34,694] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:34,938] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:35,212] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:35,402] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:35,608] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:35,829] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:36,053] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:36,332] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:36,540] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:36,783] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:37,107] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:37,332] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:37,592] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:43,941] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:44,256] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:44,575] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:44,893] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:45,211] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-27 12:57:45,499] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:45,706] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:46,341] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:46,622] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:46,855] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:47,141] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:47,463] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:47,703] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:47,943] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:48,210] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:48,479] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:48,791] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:49,023] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:49,258] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:49,567] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:49,793] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:50,008] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:50,241] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:52,768] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:53,040] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-03-27 12:57:53,255] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-27 12:57:53,484] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-27 12:57:53,850] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
