[2020-02-20 11:42:46,816] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-02-20 11:48:03,433] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-02-20 11:48:07,056] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /index/ HTTP/1.1" 200 6277
[2020-02-20 11:48:07,087] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/lib/layui/css/layui.css HTTP/1.1" 304 0
[2020-02-20 11:48:07,109] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /welcome/ HTTP/1.1" 200 10977
[2020-02-20 11:48:07,188] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /system/register/ HTTP/1.1" 200 4272
[2020-02-20 11:48:07,191] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /system/frame/ HTTP/1.1" 200 3712
[2020-02-20 11:48:07,221] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/flow-meter.js HTTP/1.1" 304 0
[2020-02-20 11:48:07,293] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
[2020-02-20 11:48:07,297] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/system/?action=query_control_register&page=1&limit=10 HTTP/1.1" 200 994
[2020-02-20 11:48:07,303] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_data_field
[2020-02-20 11:48:07,306] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/system/?action=query_data_field&page=1&limit=10 HTTP/1.1" 200 1555
[2020-02-20 11:48:31,717] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/view/ HTTP/1.1" 200 11022
[2020-02-20 11:48:31,771] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_admin
[2020-02-20 11:48:31,779] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/admin/?action=query_admin&page=1&limit=10 HTTP/1.1" 200 383
[2020-02-20 11:50:20,918] [autoreload.py:203] [autoreload:trigger_reload] [INFO]- D:\project\python\flowmeter\flowmeter\config\db\control_register_table.py changed, reloading.
[2020-02-20 11:50:21,586] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-02-20 11:52:51,045] [autoreload.py:203] [autoreload:trigger_reload] [INFO]- D:\project\python\flowmeter\flowmeter\config\api\control_register.py changed, reloading.
[2020-02-20 11:52:51,791] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-02-20 11:52:52,785] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /index/ HTTP/1.1" 200 6277
[2020-02-20 11:52:52,817] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /welcome/ HTTP/1.1" 200 10977
[2020-02-20 11:52:52,848] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /system/register/ HTTP/1.1" 200 4291
[2020-02-20 11:52:52,850] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /system/frame/ HTTP/1.1" 200 3712
[2020-02-20 11:52:52,854] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/view/ HTTP/1.1" 200 11022
[2020-02-20 11:52:52,971] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_control_register
