[2020-03-12 00:02:54,077] [autoreload.py:578] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-03-12 00:02:56,063] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7231
[2020-03-12 00:02:56,112] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:02:56,115] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:11:02,575] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:11:02,642] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:11:02,645] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:11:12,451] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:11:12,473] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/font.css HTTP/1.1" 200 505
[2020-03-12 00:11:12,474] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/xadmin.css HTTP/1.1" 200 9946
[2020-03-12 00:11:12,477] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/lib/layui/layui.js HTTP/1.1" 200 6667
[2020-03-12 00:11:12,478] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/xadmin.js HTTP/1.1" 200 16891
[2020-03-12 00:11:12,482] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/jquery.cookie.js HTTP/1.1" 200 3121
[2020-03-12 00:11:12,483] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
[2020-03-12 00:11:12,487] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/flow-meter.js HTTP/1.1" 200 1879
[2020-03-12 00:11:12,488] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/lib/layui/css/layui.css HTTP/1.1" 200 89020
[2020-03-12 00:11:12,516] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/lib/layui/lay/modules/layer.js HTTP/1.1" 200 22041
[2020-03-12 00:11:12,523] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/lib/layui/lay/modules/form.js HTTP/1.1" 200 9259
[2020-03-12 00:11:12,534] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/lib/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14425
[2020-03-12 00:11:12,535] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/lib/layui/lay/modules/element.js HTTP/1.1" 200 7264
[2020-03-12 00:11:12,550] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:11:12,553] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:11:24,575] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:11:24,650] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:11:24,652] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:11:26,478] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:11:26,523] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:11:26,525] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:11:28,657] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:11:28,701] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:11:28,704] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:18:55,068] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:18:55,135] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:18:55,137] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:18:56,950] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:18:57,004] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:18:57,007] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:18:59,120] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:18:59,170] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:18:59,173] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:19:03,536] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：add_meter
[2020-03-12 00:19:03,537] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /handler/meter/ HTTP/1.1" 200 77
[2020-03-12 00:19:06,027] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:19:06,064] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:19:06,066] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:20:57,760] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:20:57,805] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:20:57,808] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:21:00,510] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /dtu/add/ HTTP/1.1" 200 12261
[2020-03-12 00:21:00,554] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-12 00:21:00,571] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/manufacturer/?param=%7B%7D&action=query_manufacturer HTTP/1.1" 200 1235
[2020-03-12 00:21:00,576] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_user
[2020-03-12 00:21:00,579] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/dtu_user/?param=%7B%7D&action=query_dtu_user HTTP/1.1" 200 239
[2020-03-12 00:21:00,584] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu_region
[2020-03-12 00:21:00,602] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/dtu_region/?param=%7B%7D&action=query_dtu_region HTTP/1.1" 200 337
[2020-03-12 00:21:00,606] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-12 00:21:00,612] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/dtu/?param=%7B%7D&action=query_dtu HTTP/1.1" 200 708
[2020-03-12 00:21:02,999] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:21:03,037] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:21:03,039] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:23:17,522] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/state/?id=4 HTTP/1.1" 200 7535
[2020-03-12 00:23:17,576] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-12 00:23:17,579] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?param=%7B%22state_id%22%3A4%7D&action=query_state HTTP/1.1" 200 216
[2020-03-12 00:23:19,870] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /meter/view/ HTTP/1.1" 200 10440
[2020-03-12 00:23:19,951] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-12 00:23:19,959] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /handler/meter/?action=query_meter&page=1&limit=10 HTTP/1.1" 200 464
